name,genres
Victoria de los Ángeles,"['classical soprano', 'opera', 'spanish classical']"
Stanley Holloway,"['british comedy', 'music hall']"
Emmanuel Chabrier,"['french romanticism', 'late romantic era']"
Sir Peter Pears,['classical tenor']
Gabriele Santini,['opera']
Los Muchachos,[]
Clara,[]
Ken Nordine,['beat poetry']
周璇,"['c-pop', 'vintage chinese pop']"
Francisco Gomez,['musica popular colombiana']
Coro del Teatro dell' Opera di Roma,['opera chorus']
Wilma,[]
Ronnie Dove,['deep adult standards']
Marie-Claire Alain,['classical organ']
Hans-Joachim Rotzsch,[]
Alexander Schneider,[]
Quantic Presenta: Flowering Inferno,[]
Bob Crosby & His Orchestra,['big band']
Hedwig Bilgram,[]
Lou Lou,[]
Big Deal,['nu gaze']
Ssleeping Desiress,"['dark post-punk', 'grave wave', 'minimal wave']"
Pierre Henry,"['acousmatic', 'avant-garde', 'electroacoustic composition', 'free improvisation', 'musique concrete', 'vintage french electronic']"
Gary Wolk,[]
Bruno Turner,[]
Jan Pieterszoon Sweelinck,"['baroque', 'classical', 'early music']"
Francesco Cavalli,"['baroque', 'italian baroque', 'italian opera']"
Josef Suk,"['classical', 'czech classical', 'post-romantic era']"
Rabih Abou-Khalil,"['arab folk', 'arabic jazz', 'oud']"
Michael Gielen,['orchestral performance']
Horkýže Slíže,"['czech punk', 'czech rock', 'slovak pop', 'slovak rock']"
Rosita,[]
Tony Sheridan,"['british invasion', 'merseybeat']"
Anne Sylvestre,['chanson']
Jaromir Nohavica,"['czech folk', 'czech pop', 'czech rock']"
Bill Holman,['jazz orchestra']
Keith Martin,[]
Peter Neumann,[]
Paul Tortelier,['classical cello']
Tylman Susato,"['franco-flemish school', 'renaissance']"
Stanisław Wisłocki,[]
The Band Of The Grenadier Guards,"['bagpipe marching band', 'marching band', 'military band']"
Franco Gulli,['italian violin']
Nico Fidenco,"['classic italian pop', 'vintage italian soundtrack']"
Hans Rosbaud,"['historic orchestral performance', 'orchestral performance']"
Seventeen,[]
Cristy Mendoza,['classic opm']
Walter Brennan,['traditional country']
Michael v,[]
El Consorcio,['spanish classical']
Márió,[]
Romeo,[]
Manolo Caracol,"['cante flamenco', 'copla', 'flamenco', 'rumba']"
Melchor De Marchena,['cante flamenco']
Ildar Abdrazakov,['classical bass']
Nuvo,"['classic thai pop', 'thai pop', 'thai rock']"
張露,"['c-pop', 'vintage chinese pop']"
Larry Clinton,"['big band', 'swing']"
Billy Williams,['deep adult standards']
Joseph Kosma,[]
Basil Rathbone,"['drama', 'vintage radio show']"
Chicosci,"['opm', 'pinoy indie', 'pinoy pop punk', 'pinoy rock']"
Hans Hotter,['classical bass']
Siniestro Total,"['galician rock', 'punk galego', 'spanish new wave', 'spanish punk']"
Victor Olaiya,['highlife']
Tony Dallara,['classic italian pop']
Tommy Sands,"['deep adult standards', 'rock-and-roll', 'rockabilly']"
Johnny Dodds,"['big band', 'dixieland', 'jazz clarinet', 'new orleans jazz', 'ragtime', 'stride', 'vintage jazz']"
Billy Butterfield,['jazz trumpet']
Helmut Walcha,['classical organ']
Bea Wain,['torch song']
Philippe Jordan,['orchestral performance']
Bourvil,['chanson']
Frankfurt Opera Chorus,['opera chorus']
Kammerorchester Berlin,['german orchestra']
General Patton,['turntablism']
La Paquera De Jerez,"['cante flamenco', 'flamenco']"
Bill Le Sage,"['jazz vibraphone', 'library music']"
Bob Crosby,"['big band', 'swing']"
Nordwestdeutsche Philharmonie,"['german orchestra', 'orchestra']"
Orchestre Lamoureux,['french orchestra']
Tomasz Wakulewski,[]
M.S.,[]
Giuseppe Taddei,"['classical baritone', 'italian baritone', 'italian bass', 'opera']"
Laurent Korcia,['violin']
Milva,['classic italian pop']
The Blue Diamonds,"['adult standards', 'classic schlager', 'indorock', 'nederpop', 'vintage dutch pop']"
Eidha Al Menhali,['khaliji']
Benny Golson Sextet,[]
Ernst Haefliger,['classical tenor']
Lounge Ibiza,[]
DIVOKEJ BILL,"['czech folk', 'czech pop', 'czech rock']"
Josef Greindl,['classical bass']
Mario Sereni,"['classical baritone', 'italian baritone', 'opera']"
Bob Cooper,['jazz saxophone']
Susanne Lautenbacher,['violin']
Johannes Koch,[]
Teresa Stich-Randall,[]
Acid House Kings,"['swedish indie pop', 'twee pop']"
Alexander,[]
Rita Streich,"['classical soprano', 'opera']"
Boyfriends,[]
Johann Melchior Molter,"['baroque', 'german baroque']"
Willem van Otterloo,[]
Ian Partridge,['classical tenor']
Les Frères Jacques,"['chanson', 'vintage chanson']"
Georges Guétary,['vintage chanson']
Winston Churchill,['oratory']
Boby Lapointe,"['chanson', 'french rock']"
"Billy ""The Kid"" Emerson",[]
Eric Idle,"['british comedy', 'comic']"
Eddie Constantine,['vintage chanson']
Richard Lewis,[]
Lounge Bar Ibiza,[]
Konstantinos Christoforou,"['cypriot pop', 'greek pop']"
The Big 18,"['big band', 'swing']"
Billy Cotton & His Band,['british dance band']
Die Egerländer Musikanten,"['blaskapelle', 'blasmusik']"
Clément Janequin,"['early music', 'french renaissance', 'renaissance']"
Theo Adam,['classical bass']
Anita,[]
René Touzet,['cha-cha-cha']
Mij Mack,[]
Dario Moreno,['classic turkish pop']
Louis-Nicolas Clérambault,"['baroque', 'french baroque']"
Larry Clinton & His Orchestra,[]
Tuesday,[]
Hugues Cuénod,['classical tenor']
Pee Wee Russell,"['big band', 'jazz clarinet', 'new orleans jazz', 'swing']"
Gary Crosby,[]
Rannie Raymundo,[]
Barbara George,[]
Jésus Etcheverry,[]
Dollar,"['classic uk pop', 'dance rock', 'new romantic', 'new wave pop']"
Tři Sestry,"['czech folk', 'czech punk', 'czech rock']"
Jean-Claude Ambrosini,[]
Sheikh Haikel,[]
Jimmy O'Bryant,['jazz blues']
Billy Mure,"['exotica', 'lounge']"
Albert Wolff,[]
Sidney Polak,['polish reggae']
Subha,['deep indian pop']
Woong San,"['audiophile vocal', 'korean jazz']"
Daniel Landa,"['czech folk', 'czech rock', 'slovak pop']"
Chor der St. Hedwigs-Kathedrale Berlin,['german choir']
Sangeetha,"['deep indian pop', 'filmi']"
Maureen Forrester,['classical contralto']
Boris Christoff,['classical bass']
Betty Grable,['vintage hollywood']
Tan Sri P. Ramlee,['malaysian indie']
Cannonball Adderley Sextet,"['bebop', 'hard bop', 'jazz']"
Argeo Quadri,['opera']
Francis Lemarque,"['french folk', 'vintage chanson']"
Tripes,"['classic greek rock', 'greek indie']"
Jonel Perlea,[]
Pure Noise,[]
Frank Foster,[]
Jacob Clemens non Papa,"['franco-flemish school', 'renaissance']"
Bill Henderson,[]
Ruby Braff,"['cool jazz', 'jazz trumpet', 'stride']"
Pulkkinen,[]
Bobby Timmons Trio,"['hard bop', 'jazz trio']"
Heidi Grant Murphy,[]
Jenna,['bouncy house']
Pee Wee Hunt,['jazz trombone']
T.Raumschmiere,['modular synth']
Vivian Blaine,[]
René Leibowitz,['serialism']
Low5,['dutch dnb']
Gerhard Unger,[]
Piotr Beczala,"['classical tenor', 'opera']"
Jerry Gonzalez,"['jazz trumpet', 'latin jazz']"
Paul van Kempen,['historic orchestral performance']
Sieglinde Wagner,['classical contralto']
Nederlands Philharmonisch Orkest,[]
Ermanno Wolf-Ferrari,"['italian romanticism', 'post-romantic era']"
Dead Swans,"['chaotic hardcore', 'melodic hardcore', 'ukhc']"
"Joe ""Fingers"" Carr","['honky-tonk piano', 'old west']"
Irmgard Seefried,['classical soprano']
Paolo Montarsolo,"['classical bass', 'italian bass']"
Ralph Kirkpatrick,"['harpsichord', 'historical keyboard']"
Francesco Antonio Bonporti,"['baroque', 'italian baroque']"
Marga Höffgen,['classical contralto']
Kurt Böhme,['classical bass']
Concha Piquer,"['copla', 'rumba']"
Los Españoles,[]
Kristin Lewis,[]
August Wenzinger,['viola da gamba']
Bobby Troup,[]
Bonnie Guitar,[]
Giorgio Tadeo,['italian bass']
Ina Ray Hutton,[]
Lucie Bílá,"['classic czech pop', 'czech folk', 'czech pop', 'czech rock', 'slovak pop']"
Ernst Mosch,['blaskapelle']
The Beverley Sisters,['vocal harmony group']
Victoria Banks,"['canadian country', 'country dawn']"
Noël Lee,['american classical piano']
Urban Flow,['pinoy hip hop']
Cipriano de Rore,"['early music', 'franco-flemish school', 'madrigal', 'renaissance']"
Frankfurter Opern- und Museumsorchester,['german orchestra']
Cristian Vogel,"['danish experimental', 'danish techno']"
Berthe Sylva,['vintage chanson']
Bill Coleman,['jazz trumpet']
Pierre Boussaguet,[]
André-Ernest-Modeste Grétry,"['classical era', 'french opera']"
Bob Thiele,[]
Kerstin Meyer,[]
Jackpot,[]
Franzl Lang,['alpine yodeling']
Ilham al-Madfai,"['arab folk', 'arab pop', 'khaleeji iraqi']"
Nino Oliviero,['vintage italian soundtrack']
Richard H. Kirk,"['british experimental', 'intelligent dance music', 'proto-techno']"
Big Maceo,"['chicago blues', 'piano blues', 'traditional blues']"
Paul Makanowitzky,[]
Kim Borg,['classical bass']
Thea von Sparr,[]
Nicola Rossi-Lemeni,"['classical bass', 'italian bass']"
The Bay City Jazz Band,[]
Josh T. Pearson,[]
La Decada Prodigiosa,[]
Polly Bergen,[]
Mabel Mercer,['cabaret']
Alain Marion,['classical flute']
Plinio Clabassi,"['classical bass', 'italian bass']"
Penny Lane,[]
Wilhelm Schüchter,[]
Myra Hess,"['british classical piano', 'historic piano performance']"
Paul Kletzki,['historic orchestral performance']
Bob Wilber,['jazz clarinet']
Fritz Neumeyer,[]
Joe Loss & His Orchestra,"['ballroom', 'big band', 'british dance band', 'easy listening']"
André Claveau,['vintage chanson']
Joe Gallardo,[]
Gérard Philipe,"['histoire pour enfants', 'musique pour enfants']"
Puan Sri Saloma,['classic malaysian pop']
André Hossein,['french soundtrack']
Robert Robinson,[]
Datuk Sharifah Aini,['classic malaysian pop']
Coral Sant Jordi,['catalan folk']
Illinois Jacquet & His Orchestra,[]
Walter Kraft,[]
Joe Dowell,[]
Barney Bigard,"['jazz clarinet', 'new orleans jazz']"
Choeurs de l'Opéra National de Paris,['opera chorus']
